经度        纬度         深度       速度
  113.600   40.030    0.000    1.091
  113.600   40.020    0.000    1.243
  113.600   40.010    0.000    1.030
  113.600   40.000    0.000    1.011
  113.600   39.990    0.000    1.005
  113.600   39.980    0.000    1.001
  113.600   39.970    0.000    0.999
  113.600   39.960    0.000    0.998
  113.600   39.950    0.000    0.998
  113.600   39.940    0.000    0.998
  113.600   39.930    0.000    0.998
  113.600   39.920    0.000    0.999
  113.600   39.910    0.000    1.000
  113.600   39.900    0.000    1.001
  113.600   39.890    0.000    1.001
  113.600   39.880    0.000    1.000
  113.600   39.870    0.000    1.000
  113.620   40.200    0.000    1.000
  113.620   40.190    0.000    0.999
  113.620   40.180    0.000    1.000
  113.620   40.170    0.000    1.003
  113.620   40.160    0.000    1.011
  113.620   40.150    0.000    1.036
  113.620   40.140    0.000    1.207
  113.620   40.130    0.000    1.662
  113.620   40.120    0.000    1.984
  113.620   40.110    0.000    2.086
  113.620   40.100    0.000    1.890
  113.620   40.090    0.000    0.606
  113.620   40.080    0.000    0.593
  113.620   40.070    0.000    1.216
  113.620   40.060    0.000    0.611
  113.620   40.050    0.000    1.963
  113.620   40.040    0.000    1.337
  113.620   40.030    0.000    1.341
  113.620   40.020    0.000    1.510
  113.620   40.010    0.000    1.164
  113.620   40.000    0.000    1.029
  113.620   39.990    0.000    1.010
  113.620   39.980    0.000    1.004
  113.620   39.970    0.000    1.001
  113.620   39.960    0.000    0.999
  113.620   39.950    0.000    0.998
  113.620   39.940    0.000    0.997
  113.620   39.930    0.000    0.998
  113.620   39.920    0.000    0.998
  113.620   39.910    0.000    0.999
  113.620   39.900    0.000    1.000
  113.620   39.890    0.000    1.001
  113.620   39.880    0.000    1.000
  113.620   39.870    0.000    1.000
  113.640   40.200    0.000    1.000
  113.640   40.190    0.000    0.999
  113.640   40.180    0.000    1.000
  113.640   40.170    0.000    1.003
  113.640   40.160    0.000    1.012
  113.640   40.150    0.000    1.043
  113.640   40.140    0.000    1.344
  113.640   40.130    0.000    2.032
  113.640   40.120    0.000    2.053
  113.640   40.110    0.000    1.895
  113.640   40.100    0.000    1.282
  113.640   40.090    0.000    0.500
  113.640   40.080    0.000    1.561
  113.640   40.070    0.000    2.294
  113.640   40.060    0.000    0.500
  113.640   40.050    0.000    0.679
  113.640   40.040    0.000    2.084
  113.640   40.030    0.000    0.785
  113.640   40.020    0.000    1.592
  113.640   40.010    0.000    1.535
  113.640   40.000    0.000    1.110
  113.640   39.990    0.000    1.023
  113.640   39.980    0.000    1.008
  113.640   39.970    0.000    1.003
  113.640   39.960    0.000    1.000
  113.640   39.950    0.000    0.998
  113.640   39.940    0.000    0.998
  113.640   39.930    0.000    0.998
  113.640   39.920    0.000    0.998
  113.640   39.910    0.000    0.999
  113.640   39.900    0.000    1.000
  113.640   39.890    0.000    1.000
  113.640   39.880    0.000    1.000
  113.640   39.870    0.000    1.000
  113.660   40.200    0.000    1.000
  113.660   40.190    0.000    0.999
  113.660   40.180    0.000    1.000
  113.660   40.170    0.000    1.002
  113.660   40.160    0.000    1.009
  113.660   40.150    0.000    1.031
  113.660   40.140    0.000    1.294
  113.660   40.130    0.000    1.836
  113.660   40.120    0.000    1.409
  113.660   40.110    0.000    0.652
  113.660   40.100    0.000    1.546
  113.660   40.090    0.000    1.914
  113.660   40.080    0.000    1.614
  113.660   40.070    0.000    1.045
  113.660   40.060    0.000    1.074
  113.660   40.050    0.000    0.500
  113.660   40.040    0.000    0.956
  113.660   40.030    0.000    1.521
  113.660   40.020    0.000    1.814
  113.660   40.010    0.000    1.847
  113.660   40.000    0.000    1.048
  113.660   39.990    0.000    1.049
  113.660   39.980    0.000    1.024
  113.660   39.970    0.000    1.008
  113.660   39.960    0.000    1.003
  113.660   39.950    0.000    1.000
  113.660   39.940    0.000    0.998
  113.660   39.930    0.000    0.998
  113.660   39.920    0.000    0.998
  113.660   39.910    0.000    0.998
  113.660   39.900    0.000    0.999
  113.660   39.890    0.000    1.000
  113.660   39.880    0.000    1.000
  113.660   39.870    0.000    1.000
  113.680   40.200    0.000    1.000
  113.680   40.190    0.000    0.999
  113.680   40.180    0.000    0.999
  113.680   40.170    0.000    1.000
  113.680   40.160    0.000    1.002
  113.680   40.150    0.000    1.002
  113.680   40.140    0.000    0.965
  113.680   40.130    0.000    0.927
  113.680   40.120    0.000    1.224
  113.680   40.110    0.000    1.264
  113.680   40.100    0.000    1.440
  113.680   40.090    0.000    1.663
  113.680   40.080    0.000    1.450
  113.680   40.070    0.000    0.500
  113.680   40.060    0.000    1.962
  113.680   40.050    0.000    2.687
  113.680   40.040    0.000    1.258
  113.680   40.030    0.000    1.713
  113.680   40.020    0.000    1.444
  113.680   40.010    0.000    0.500
  113.680   40.000    0.000    0.500
  113.680   39.990    0.000    0.864
  113.680   39.980    0.000    1.085
  113.680   39.970    0.000    1.024
  113.680   39.960    0.000    1.009
  113.680   39.950    0.000    1.003
  113.680   39.940    0.000    1.000
  113.680   39.930    0.000    0.998
  113.680   39.920    0.000    0.998
  113.680   39.910    0.000    0.998
  113.680   39.900    0.000    0.999
  113.680   39.890    0.000    1.000
  113.680   39.880    0.000    1.000
  113.680   39.870    0.000    1.000
  113.700   40.200    0.000    1.000
  113.700   40.190    0.000    0.999
  113.700   40.180    0.000    0.999
  113.700   40.170    0.000    0.999
  113.700   40.160    0.000    0.998
  113.700   40.150    0.000    0.987
  113.700   40.140    0.000    0.850
  113.700   40.130    0.000    0.531
  113.700   40.120    0.000    1.157
  113.700   40.110    0.000    1.639
  113.700   40.100    0.000    1.701
  113.700   40.090    0.000    1.792
  113.700   40.080    0.000    1.992
  113.700   40.070    0.000    1.900
  113.700   40.060    0.000    2.092
  113.700   40.050    0.000    2.321
  113.700   40.040    0.000    1.457
  113.700   40.030    0.000    0.779
  113.700   40.020    0.000    1.282
  113.700   40.010    0.000    1.105
  113.700   40.000    0.000    0.809
  113.700   39.990    0.000    0.912
  113.700   39.980    0.000    1.139
  113.700   39.970    0.000    1.072
  113.700   39.960    0.000    1.020
  113.700   39.950    0.000    1.007
  113.700   39.940    0.000    1.002
  113.700   39.930    0.000    0.999
  113.700   39.920    0.000    0.998
  113.700   39.910    0.000    0.998
  113.700   39.900    0.000    0.999
  113.700   39.890    0.000    1.000
  113.700   39.880    0.000    1.000
  113.700   39.870    0.000    1.000
  113.720   40.200    0.000    1.000
  113.720   40.190    0.000    0.999
  113.720   40.180    0.000    0.999
  113.720   40.170    0.000    0.999
  113.720   40.160    0.000    0.997
  113.720   40.150    0.000    0.992
  113.720   40.140    0.000    0.968
  113.720   40.130    0.000    0.905
  113.720   40.120    0.000    0.916
  113.720   40.110    0.000    0.885
  113.720   40.100    0.000    1.199
  113.720   40.090    0.000    1.720
  113.720   40.080    0.000    1.659
  113.720   40.070    0.000    1.715
  113.720   40.060    0.000    1.711
  113.720   40.050    0.000    1.321
  113.720   40.040    0.000    2.125
  113.720   40.030    0.000    1.734
  113.720   40.020    0.000    1.457
  113.720   40.010    0.000    1.765
  113.720   40.000    0.000    2.005
  113.720   39.990    0.000    1.791
  113.720   39.980    0.000    1.278
  113.720   39.970    0.000    1.124
  113.720   39.960    0.000    1.041
  113.720   39.950    0.000    1.013
  113.720   39.940    0.000    1.005
  113.720   39.930    0.000    1.000
  113.720   39.920    0.000    0.998
  113.720   39.910    0.000    0.998
  113.720   39.900    0.000    0.998
  113.720   39.890    0.000    0.999
  113.720   39.880    0.000    1.000
  113.720   39.870    0.000    1.000
  113.740   40.200    0.000    1.000
  113.740   40.190    0.000    0.999
  113.740   40.180    0.000    0.999
  113.740   40.170    0.000    0.999
  113.740   40.160    0.000    0.998
  113.740   40.150    0.000    0.996
  113.740   40.140    0.000    0.990
  113.740   40.130    0.000    0.985
  113.740   40.120    0.000    0.989
  113.740   40.110    0.000    0.975
  113.740   40.100    0.000    0.969
  113.740   40.090    0.000    1.197
  113.740   40.080    0.000    1.605
  113.740   40.070    0.000    2.092
  113.740   40.060    0.000    1.791
  113.740   40.050    0.000    0.500
  113.740   40.040    0.000    0.500
  113.740   40.030    0.000    0.500
  113.740   40.020    0.000    1.089
  113.740   40.010    0.000    0.500
  113.740   40.000    0.000    0.500
  113.740   39.990    0.000    1.522
  113.740   39.980    0.000    1.433
  113.740   39.970    0.000    1.173
  113.740   39.960    0.000    1.025
  113.740   39.950    0.000    1.003
  113.740   39.940    0.000    1.010
  113.740   39.930    0.000    1.003
  113.740   39.920    0.000    0.999
  113.740   39.910    0.000    0.997
  113.740   39.900    0.000    0.998
  113.740   39.890    0.000    0.999
  113.740   39.880    0.000    1.000
  113.740   39.870    0.000    1.000
  113.760   40.200    0.000    1.000
  113.760   40.190    0.000    1.000
  113.760   40.180    0.000    0.999
  113.760   40.170    0.000    0.999
  113.760   40.160    0.000    0.999
  113.760   40.150    0.000    0.998
  113.760   40.140    0.000    0.996
  113.760   40.130    0.000    0.995
  113.760   40.120    0.000    0.997
  113.760   40.110    0.000    1.007
  113.760   40.100    0.000    1.033
  113.760   40.090    0.000    1.077
  113.760   40.080    0.000    1.330
  113.760   40.070    0.000    2.078
  113.760   40.060    0.000    2.182
  113.760   40.050    0.000    1.639
  113.760   40.040    0.000    1.158
  113.760   40.030    0.000    1.380
  113.760   40.020    0.000    1.045
  113.760   40.010    0.000    0.522
  113.760   40.000    0.000    0.537
  113.760   39.990    0.000    0.671
  113.760   39.980    0.000    1.144
  113.760   39.970    0.000    1.104
